               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,            0.033453,            0.040616,           0.0056428,             0.90796,             0.89102,             0.93737,             0.71696,             0.02843,            0.020658,           0.0028782,            0.003664,            0.003664,            0.003664
                  66,             0.03199,            0.035262,           0.0053271,             0.90575,             0.88788,             0.93822,             0.72099,            0.027872,            0.020591,            0.002855,            0.003565,            0.003565,            0.003565
                  67,             0.03265,            0.040438,           0.0055233,             0.89796,             0.89409,             0.94388,             0.71972,             0.02822,            0.020695,            0.002854,            0.003466,            0.003466,            0.003466
                  68,            0.033264,            0.037314,           0.0056053,             0.90099,             0.90359,             0.94178,             0.72964,            0.028196,            0.020665,           0.0028465,            0.003367,            0.003367,            0.003367
                  69,            0.032972,            0.041761,           0.0058428,             0.89991,             0.90143,             0.94387,              0.7185,            0.028434,            0.020736,           0.0028116,            0.003268,            0.003268,            0.003268
                  70,            0.033658,            0.046086,           0.0053178,             0.89232,             0.90606,             0.94618,             0.71171,            0.028933,             0.02074,           0.0027914,            0.003169,            0.003169,            0.003169
                  71,             0.03278,              0.0396,           0.0050528,             0.88997,             0.92054,             0.94842,              0.7193,            0.027771,            0.020526,           0.0027954,             0.00307,             0.00307,             0.00307
                  72,            0.032657,            0.039896,           0.0055194,             0.90684,             0.89942,             0.95233,             0.73369,            0.027119,            0.020175,           0.0027978,            0.002971,            0.002971,            0.002971
                  73,            0.031023,            0.039095,           0.0054869,             0.91747,             0.88312,              0.9494,             0.72471,            0.027299,            0.019961,           0.0027437,            0.002872,            0.002872,            0.002872
                  74,            0.032844,            0.038956,           0.0052504,             0.91832,             0.88698,             0.94986,             0.73937,            0.027131,            0.019816,           0.0027105,            0.002773,            0.002773,            0.002773
                  75,            0.032868,             0.04202,           0.0053285,             0.91684,             0.88264,             0.94861,             0.72903,            0.027179,            0.019796,           0.0026905,            0.002674,            0.002674,            0.002674
                  76,            0.033012,             0.03464,           0.0048622,             0.92222,             0.88375,             0.95474,             0.72539,            0.027565,            0.019715,           0.0026577,            0.002575,            0.002575,            0.002575
                  77,            0.031283,            0.035836,            0.004697,             0.91754,             0.88786,             0.95253,             0.72765,            0.026864,            0.019541,           0.0026305,            0.002476,            0.002476,            0.002476
                  78,            0.031135,            0.037381,           0.0047787,             0.92707,             0.88673,             0.94654,             0.72963,            0.027093,            0.019515,           0.0025926,            0.002377,            0.002377,            0.002377
                  79,            0.032306,             0.03804,           0.0050108,             0.92768,             0.88722,             0.94952,             0.74553,            0.026143,            0.019268,           0.0025587,            0.002278,            0.002278,            0.002278
                  80,            0.029563,            0.031857,           0.0049137,             0.92587,             0.88959,             0.94988,             0.73988,            0.026092,            0.019288,           0.0025454,            0.002179,            0.002179,            0.002179
                  81,            0.031874,            0.039972,           0.0047964,             0.93586,             0.88916,             0.95082,              0.7413,            0.025855,            0.019142,           0.0025232,             0.00208,             0.00208,             0.00208
